speed_threshold,timeline,sec_name,n_points,coverage_density,coverage_time,coverage_max_gap,max_jerk,max_acceleration,max_speed,median_jerk,mean_median_jerk_ratio,gt_error
80,train_bus_ebike_mtv_ucb,berkeley_to_mtv_SF_express_bus/express_bus_2,2365,1.202236324410241,0.9722390688267566,0.028242214317204972,2460571916087971.5,586644157.3831019,4973.690257575457,409.56788771791264,3.921655360295713e-10,6.769007973500341e-10
80,train_bus_ebike_mtv_ucb,berkeley_to_mtv_SF_express_bus/walk_downtown_urban_canyon_2,564,1.0181713692785077,0.8549129688572635,0.1463439388572696,2098387.8385201506,11545.015747846905,145.3680179254195,2.6043010392190675,0.00022582767358932473,1.060580868851958e-09
80,train_bus_ebike_mtv_ucb,berkeley_to_mtv_SF_express_bus/light_rail_below_above_ground_2,1218,1.1034479510048696,0.9474091619605973,0.08354832776260727,52765137083.490715,1751797.54411385,1904.93456949164,37.261610089481984,7.98447480300121e-07,8.145851430344032e-10
80,train_bus_ebike_mtv_ucb,berkeley_to_mtv_SF_express_bus/commuter_rail_with_tunnels_2,4793,1.1702608973273092,0.9958814879255747,0.03211729887136495,1.6328576328734122e+17,700746475408.0175,3007422.636911625,811.3997332862909,2.081034462725003e-11,7.999884506231548e-10
80,train_bus_ebike_mtv_ucb,berkeley_to_mtv_SF_express_bus/inner_suburb_downtown_walk_2,1193,1.074424960602365,0.999225053415692,0.04795684699060184,146161923.8794963,33448.91457116558,256.1829393361409,0.849157160469329,4.622367645999477e-06,7.13358173776683e-10
80,train_bus_ebike_mtv_ucb,mtv_to_berkeley_sf_bart/walk_to_caltrain_3,949,1.0954065836165017,0.9247775335860994,0.0757216154615967,410686259068390.5,3894424587.568162,78925.09860338365,2.1357532476304932,3.309004683019229e-12,7.066114844795951e-10
80,train_bus_ebike_mtv_ucb,mtv_to_berkeley_sf_bart/commuter_rail_aboveground_3,2639,1.1913622084675586,0.9955419539170262,0.022752282620609993,38011932902261.71,2996134023.2873206,233503.66648840596,178.4515904080729,4.007449437025971e-09,7.225986198398043e-10
80,train_bus_ebike_mtv_ucb,mtv_to_berkeley_sf_bart/subway_underground_3,3868,1.1899452839988747,0.9952886641065797,0.025328488223534385,inf,inf,inf,63.7895250977561,0.0,8.022390272317053e-10
80,train_bus_ebike_mtv_ucb,mtv_to_berkeley_sf_bart/walk_to_bus_3,309,1.0195085540598094,0.9698029455469791,0.2992796181023534,2.144738404225294e+18,1022690966160.2357,487666.9499873831,23.70435942258258,1.7075357951715835e-15,8.417568395528515e-10
80,train_bus_ebike_mtv_ucb,mtv_to_berkeley_sf_bart/city_bus_short_3,378,1.2526017169820336,0.9576853108313415,0.03378377185277651,140498129.27514905,127789.77460634886,719.0305734724896,324.4811021127614,0.00036987307979270456,6.4425497260919e-10
80,train_bus_ebike_mtv_ucb,walk_urban_university/walk_urban_university_3,797,1.0942109175206816,0.9785787958304913,0.03862147976113899,2258005918104.9556,160428214.39659828,11398.762937748255,1.8883771641856266,6.659386226819205e-10,8.783406312073868e-10
80,train_bus_ebike_mtv_ucb,berkeley_to_mtv_SF_express_bus/walk to the bikeshare location_3,519,1.0708071431547226,0.978993470273305,0.03700601124372408,3601160865.885406,1234631.5184776068,512.2714147175191,1.040341920615747,1.4032344651870004e-07,5.692611509058333e-10
80,train_bus_ebike_mtv_ucb,berkeley_to_mtv_SF_express_bus/ebike_bikeshare_urban_long_3,1586,1.1937928502189994,0.9822915822241656,0.027664793957965592,2850425792.765307,251356.61549390704,363.07308318808356,14.695188512445467,7.575648264040843e-06,7.481166846026598e-10
80,train_bus_ebike_mtv_ucb,berkeley_to_mtv_SF_express_bus/express_bus_3,2741,1.1612161764189428,0.9847156224618219,0.016680875217728614,326054603949.83594,84730170.43822719,22052.694803705595,39.578572250931074,2.4332355413677603e-07,7.342253319793175e-10
80,train_bus_ebike_mtv_ucb,berkeley_to_mtv_SF_express_bus/walk_downtown_urban_canyon_3,785,1.0121577735661518,0.8830102017391962,0.10751961789862412,inf,inf,inf,19.45296401583056,0.0,8.02529976053429e-10
80,train_bus_ebike_mtv_ucb,berkeley_to_mtv_SF_express_bus/light_rail_below_above_ground_3,930,1.140471929943614,0.9856129629220856,0.028287174817367713,6483741751588577.0,9225593694.576609,181117.33817453712,17.809334656876594,2.171148116126552e-12,8.145851430344032e-10
80,train_bus_ebike_mtv_ucb,berkeley_to_mtv_SF_express_bus/commuter_rail_with_tunnels_3,3579,1.2425810516383924,0.9968581645488342,0.02751475825337328,38658979024454.58,516999023.60219866,213503.1803795226,353.22592294103725,1.289351964691141e-08,7.999884506231548e-10
80,train_bus_ebike_mtv_ucb,berkeley_to_mtv_SF_express_bus/inner_suburb_downtown_walk_3,1186,1.074666833186685,0.995566267538603,0.040089005735421374,1888704789.3545876,740770.7893262185,295.1272354205223,1.049160996539253,6.534792939779017e-07,7.13358173776683e-10
80,train_bus_ebike_mtv_ucb,mtv_to_berkeley_sf_bart/walk_to_caltrain_4,960,1.0936529756486262,0.9376241901172634,0.06364239614109067,1.039738082210678e+19,4957857525186.422,2364128.907404039,1.8977205049284942,1.7521828433637444e-16,7.066114844795951e-10
80,train_bus_ebike_mtv_ucb,mtv_to_berkeley_sf_bart/commuter_rail_aboveground_4,2716,1.184768680053126,0.99373213239174,0.032237446565217306,2.41267500767062e+19,4697631175301.504,6490031.699794815,335.4729924122246,3.632485971935967e-14,7.225986198398043e-10
80,train_bus_ebike_mtv_ucb,mtv_to_berkeley_sf_bart/subway_underground_4,3882,1.1899937289785,0.9972633055723156,0.025732854539646015,inf,inf,inf,19.848637052187087,0.0,8.022390272317053e-10
80,train_bus_ebike_mtv_ucb,mtv_to_berkeley_sf_bart/walk_to_bus_4,318,1.017214138932621,0.9846260329363267,0.3083812856673508,2.287766616564004e+16,49090146215.56137,105344.0997595273,19.847181101395947,2.742498669654519e-13,8.417568395528515e-10
80,train_bus_ebike_mtv_ucb,mtv_to_berkeley_sf_bart/city_bus_short_4,344,1.2802506440922412,0.9679793970553906,0.04755556661265382,42160369.36942069,64034.92974459132,649.791930916281,56.71613372469541,0.00017019507910441987,6.4425497260919e-10
80,train_bus_ebike_mtv_ucb,walk_urban_university/walk_urban_university_4,797,1.0943910708015385,0.9762471943418328,0.04986383356378043,171974381396952.47,1353062360.5021343,18004.16097828759,2.1636097043036573,8.894540090443716e-12,8.783406312073868e-10
