acceleration_threshold,timeline,sec_name,n_points,coverage_density,coverage_time,coverage_max_gap,max_jerk,max_acceleration,max_speed,median_jerk,mean_median_jerk_ratio,gt_error
60,train_bus_ebike_mtv_ucb,walk_urban_university/walk_urban_university_6,824,1.0908826258836604,0.9685104095024464,0.05569646214687014,243522.05455370396,936.9992234208764,25.42935331052688,1.4550262146480177,0.0033037668786035264,8.783406312073868e-10
60,train_bus_ebike_mtv_ucb,berkeley_to_mtv_SF_express_bus/walk to the bikeshare location_6,431,1.0867783565118991,0.9949695450921687,0.044052559149501916,152246.92922721844,677.503748662491,19.692235021545336,1.16328611909635,0.0028537488713572066,5.692611509058333e-10
60,train_bus_ebike_mtv_ucb,berkeley_to_mtv_SF_express_bus/ebike_bikeshare_urban_long_6,1513,1.205552394831096,0.9761578537500238,0.02928205105852851,1339931.8028851221,1483.400675633598,31.620779207524254,11.492543966480044,0.007152912886464701,7.481166846026598e-10
60,train_bus_ebike_mtv_ucb,berkeley_to_mtv_SF_express_bus/express_bus_6,2422,1.186775116729081,0.9643783414376559,0.0609074520613112,4207124.952018349,5158.683713435756,155.3045041270627,49.44674494150483,0.008460000470995356,7.342253319793175e-10
60,train_bus_ebike_mtv_ucb,berkeley_to_mtv_SF_express_bus/walk_downtown_urban_canyon_6,666,1.0171660376133402,0.8957341116040333,0.11250429302773879,1808425538.4859989,904373.2564352489,462.88233902315204,1.166706877670649,4.271281470125755e-07,8.02529976053429e-10
60,train_bus_ebike_mtv_ucb,berkeley_to_mtv_SF_express_bus/light_rail_below_above_ground_6,941,1.1402625530901338,0.9886624811705397,0.023775987998481143,1837281.0468697152,17130.54917009308,234.3731472260524,8.751085288084097,0.0004335729331917546,8.145851430344032e-10
60,train_bus_ebike_mtv_ucb,berkeley_to_mtv_SF_express_bus/commuter_rail_with_tunnels_6,4217,1.1988857076704018,0.9971460732473327,0.02131427576406087,316634067.4203827,783127.9768218213,3942.1563646942923,63.46032191957469,2.7548804876420146e-05,7.999884506231548e-10
60,train_bus_ebike_mtv_ucb,berkeley_to_mtv_SF_express_bus/inner_suburb_downtown_walk_6,1188,1.0738826255310765,0.9944354075597653,0.0369655173128416,629149.1647710344,7551.649944331946,93.60192341554679,0.9530296869406005,0.0009226263431493197,7.13358173776683e-10
60,train_bus_ebike_mtv_ucb,mtv_to_berkeley_sf_bart/walk_to_caltrain_7,1068,1.0828504778722483,0.9144186655761695,0.08411348100912373,128620645.03508724,257220.33873427004,515.943442026393,2.191605953016598,1.2898127857354677e-05,7.066114844795951e-10
60,train_bus_ebike_mtv_ucb,mtv_to_berkeley_sf_bart/commuter_rail_aboveground_7,2786,1.1797285620215774,0.9958049622479955,0.023013108750504063,267935450.99287724,63310.209057973014,208.53153822686022,64.29638287256233,0.0006574031392274991,7.225986198398043e-10
60,train_bus_ebike_mtv_ucb,mtv_to_berkeley_sf_bart/subway_underground_7,3898,1.1883839249300352,0.9962726286343799,0.013851969456934218,555292257.4950187,467091.5049734465,5833.140419977813,20.936923983648903,2.5479291092050717e-05,8.022390272317053e-10
60,train_bus_ebike_mtv_ucb,mtv_to_berkeley_sf_bart/walk_to_bus_7,295,1.0189141518045253,0.9498210203193466,0.2077221617334087,454769.4866484457,3922.0694312816568,40.82149850319726,0.7316169157571153,0.0002404713794150943,8.417568395528515e-10
60,train_bus_ebike_mtv_ucb,mtv_to_berkeley_sf_bart/city_bus_short_7,304,1.2541401479273258,0.9613654608451583,0.05147760548891027,47653.68074625604,476.9578354870016,40.44495185049521,35.48846570425566,0.0482422632509116,6.922048303980974e-10
60,train_bus_ebike_mtv_ucb,walk_urban_university/walk_urban_university_7,851,1.0885569421297292,0.9812682534431995,0.06366310944840098,5059906.880415283,30358.4792275394,183.46735856058643,1.9708192921381116,0.00030786682341385057,8.783406312073868e-10
60,train_bus_ebike_mtv_ucb,berkeley_to_mtv_SF_express_bus/walk to the bikeshare location_7,442,1.087033213507231,0.9635872202208832,0.027801653371958085,1820489.5502308889,10010.723506920194,56.04606951980276,1.8099245376046353,0.0004255998188750563,5.692611509058333e-10
60,train_bus_ebike_mtv_ucb,berkeley_to_mtv_SF_express_bus/ebike_bikeshare_urban_long_7,1343,1.2367271889777305,0.9874880955559338,0.024172624599621023,2704258.5743969437,3237.7560474003267,32.97862782249913,13.5827389562073,0.0035578693482369757,7.481166846026598e-10
60,train_bus_ebike_mtv_ucb,berkeley_to_mtv_SF_express_bus/express_bus_7,2349,1.1936553641922936,0.9806114499367824,0.026682719669457337,996231.3375022254,10663.883991034296,293.0531236393193,27.051201514672805,0.018920675277462766,7.39791657760347e-10
60,train_bus_ebike_mtv_ucb,berkeley_to_mtv_SF_express_bus/walk_downtown_urban_canyon_7,659,1.0180392949626504,0.8984286884356729,0.10234617822610331,6426020.277067556,25702.375444352303,157.59857050771646,1.220034605223061,8.659564949281739e-05,8.02529976053429e-10
60,train_bus_ebike_mtv_ucb,berkeley_to_mtv_SF_express_bus/light_rail_below_above_ground_7,885,1.1425299957631614,0.9820353397242455,0.043248185300691515,864716928.0391456,1296975.3208452975,1945.5237461575227,9.380697679042257,9.423736696947058e-06,8.145851430344032e-10
60,train_bus_ebike_mtv_ucb,berkeley_to_mtv_SF_express_bus/commuter_rail_with_tunnels_7,3506,1.249000021152574,0.9924621779371767,0.025841138505794822,6633358.675218674,41366.00443396885,1065.6808253185059,79.02531055157107,0.013611948840709463,7.999884506231548e-10
60,train_bus_ebike_mtv_ucb,berkeley_to_mtv_SF_express_bus/inner_suburb_downtown_walk_7,1183,1.0749632752668052,0.9963359381452505,0.04966780598388681,2268050.71431905,18143.672329751418,145.93432054684897,0.9146487928105057,0.00043911020824882063,7.13358173776683e-10
60,train_bus_ebike_mtv_ucb,mtv_to_berkeley_sf_bart/walk_to_caltrain_8,930,1.0969774543749897,0.9266681001935284,0.07325187340667735,866496.35411987,9531.473427368175,106.12191615236026,1.79402254307284,0.0017438947359740649,7.066114844795951e-10
60,train_bus_ebike_mtv_ucb,mtv_to_berkeley_sf_bart/commuter_rail_aboveground_8,2857,1.1743145902344905,0.9948999944135437,0.04137664431487875,582828.8103484076,3472.7251033971097,214.9342454645668,78.27055880559597,0.045878174174441996,7.225986198398043e-10
60,train_bus_ebike_mtv_ucb,mtv_to_berkeley_sf_bart/subway_underground_8,3959,1.1866120443423807,0.9944337485765554,0.021921061874967143,3801472537.8330374,282613.185403769,10084.907108109363,28.15186278054719,1.4815033767923783e-05,8.022390272317053e-10
60,train_bus_ebike_mtv_ucb,mtv_to_berkeley_sf_bart/walk_to_bus_8,310,1.0141673616511007,0.9858767349816652,0.19273734253657734,257.9865450908735,33.44894089025078,11.454229297798006,0.3236468030484855,0.03567510718532759,8.417568395528515e-10
60,train_bus_ebike_mtv_ucb,mtv_to_berkeley_sf_bart/city_bus_short_8,301,1.253930808086201,0.9634151161627574,0.042273572876940925,8779285.088133767,5853.654571207742,55.26352269456987,26.44339039851567,0.0006397217440635846,6.922048303980974e-10
60,train_bus_ebike_mtv_ucb,walk_urban_university/walk_urban_university_8,875,1.0849693539532443,0.9809342049047893,0.04923940479599914,324156827434176.5,4096105541.4633594,51759.956550951356,1.199845902723681,3.238715527607102e-12,8.783406312073868e-10
60,train_bus_ebike_mtv_ucb,berkeley_to_mtv_SF_express_bus/walk to the bikeshare location_8,408,1.09519981998664,0.9975105393995395,0.041615244257370544,593.6822638840581,44.55248757018765,5.96650195695114,1.3582252035120121,0.16343594594394792,5.692611509058333e-10
60,train_bus_ebike_mtv_ucb,berkeley_to_mtv_SF_express_bus/ebike_bikeshare_urban_long_8,1518,1.2048345218974925,0.9714045497468168,0.029565271545696603,4484493.959035819,4052.278783862162,142.6275274441688,13.364111300619976,0.0022979885490758407,7.481166846026598e-10
60,train_bus_ebike_mtv_ucb,berkeley_to_mtv_SF_express_bus/express_bus_8,2592,1.1717501324029564,0.9800418651218882,0.021698890389093402,152121367626.88702,55309549.402055666,20111.596856573797,22.623249217346483,3.8532456748484574e-07,7.39791657760347e-10
60,train_bus_ebike_mtv_ucb,berkeley_to_mtv_SF_express_bus/walk_downtown_urban_canyon_8,600,1.016174717026029,0.8710932036574095,0.12583780528979405,24674.208236142953,664.4516568010526,24.057130731551503,5.618826620293133,0.03966012638881227,8.02529976053429e-10
60,train_bus_ebike_mtv_ucb,berkeley_to_mtv_SF_express_bus/light_rail_below_above_ground_8,778,1.163861941862176,0.9731012916906788,0.025805419022809438,2780469659.771312,372237.8094772669,326.6256820836613,8.60848858775973,2.406497521823925e-06,8.145851430344032e-10
60,train_bus_ebike_mtv_ucb,berkeley_to_mtv_SF_express_bus/commuter_rail_with_tunnels_8,3844,1.2228946151617601,0.9960682839241618,0.019691146825154427,714101055.6792548,334615.6619457554,2986.5865735587367,68.38929026717108,0.00022226844705383177,7.999884506231548e-10
60,train_bus_ebike_mtv_ucb,berkeley_to_mtv_SF_express_bus/inner_suburb_downtown_walk_8,1209,1.0728011476574286,0.983281753693659,0.05281621016083899,63865.877670730515,1480.1503470090827,38.16451059397197,1.056962856159915,0.006102460195352323,7.13358173776683e-10
60,train_bus_ebike_mtv_ucb,mtv_to_berkeley_sf_bart/walk_to_caltrain_9,945,1.0954605058009415,0.9262326512373962,0.07198472036370178,11523003412.44639,5758352.601746507,2883.80640479369,2.270715883974711,1.837054401732709e-07,7.066114844795951e-10
60,train_bus_ebike_mtv_ucb,mtv_to_berkeley_sf_bart/commuter_rail_aboveground_9,2690,1.1877978720363205,0.9957847389990933,0.02960043221555455,4064335.599655277,32544.00191493329,927.8631254075057,87.22536010465048,0.01389336762597479,7.225986198398043e-10
60,train_bus_ebike_mtv_ucb,mtv_to_berkeley_sf_bart/subway_underground_9,3904,1.1885711762327678,1.0192019414169424,0.02459776739169111,26974270740637.152,26974236.290701624,6840.297409200391,16.58284172170137,2.3909169168547386e-09,8.022390272317053e-10
60,train_bus_ebike_mtv_ucb,mtv_to_berkeley_sf_bart/walk_to_bus_9,295,1.019113170507507,0.967816824894655,0.23836176568279896,25063.955031015925,150.35183040649693,8.3177400423606,0.36503379743860004,0.0029050608631055568,8.417568395528515e-10
60,train_bus_ebike_mtv_ucb,mtv_to_berkeley_sf_bart/city_bus_short_9,363,1.1985066607877144,0.9673987264262646,0.03823792073278602,41558.71618143016,342.593981779803,45.98481238419832,30.03132036729663,0.09310061885535893,6.922048303980974e-10
60,train_bus_ebike_mtv_ucb,walk_urban_university/walk_urban_university_9,836,1.0882309682362954,0.9723672346645927,0.0354971947031994,89365.65518131011,1830.744545175945,38.6653181448535,1.0280751315743972,0.005538170333842687,8.783406312073868e-10
60,train_bus_ebike_mtv_ucb,berkeley_to_mtv_SF_express_bus/walk to the bikeshare location_9,432,1.0891073388656758,0.9907867486070506,0.03702631527957419,13031.94408389788,540.0535632163054,23.0401322565074,1.4959138861954093,0.03221069874988826,5.692611509058333e-10
60,train_bus_ebike_mtv_ucb,berkeley_to_mtv_SF_express_bus/ebike_bikeshare_urban_long_9,1623,1.1880278651697171,0.9920376642687037,0.06473495576655,14221661.961716473,6494.299926993036,128.69816676959124,14.100395996068244,0.0012337866876449804,7.481166846026598e-10
60,train_bus_ebike_mtv_ucb,berkeley_to_mtv_SF_express_bus/express_bus_9,2317,1.1963551615332029,0.9767203834164241,0.031233916202763824,222530445.77109224,41790.18704774831,122.05071641676733,36.433426270496625,0.00036782308410954586,7.342253319793175e-10
60,train_bus_ebike_mtv_ucb,berkeley_to_mtv_SF_express_bus/walk_downtown_urban_canyon_9,690,1.013759196669441,0.8578312506509388,0.1342140196216966,6059.918767947833,168.36908957080337,15.822313796219747,1.9930618966146985,0.04508549461824085,8.02529976053429e-10
60,train_bus_ebike_mtv_ucb,berkeley_to_mtv_SF_express_bus/light_rail_below_above_ground_9,1170,1.1071992676153348,0.9784341038359585,0.04469117412943585,1034550713.1811663,77000.00554168691,469.21573903948786,4.81288055472724,5.121445551113483e-06,8.145851430344032e-10
60,train_bus_ebike_mtv_ucb,berkeley_to_mtv_SF_express_bus/commuter_rail_with_tunnels_9,3566,1.2440506096065116,0.9897726116776953,0.03790724594258878,66332383.674516514,118189.04786049566,1764.9416846979764,98.60263055179752,0.002067907464744098,7.999884506231548e-10
60,train_bus_ebike_mtv_ucb,berkeley_to_mtv_SF_express_bus/inner_suburb_downtown_walk_9,1229,1.0715652742027313,0.9910376843566993,0.047056974941121155,258968263.5744814,388423.46271530027,583.4694335656098,0.8449806632688377,3.995910581270265e-06,7.13358173776683e-10
60,train_bus_ebike_mtv_ucb,mtv_to_berkeley_sf_bart/walk_to_caltrain_10,1038,1.0871036742378968,0.9122241503369825,0.08694585361000641,1997982.6366051915,15985.659858985744,129.38981840459513,2.396998635882049,0.0006569353427359779,7.066114844795951e-10
60,train_bus_ebike_mtv_ucb,mtv_to_berkeley_sf_bart/commuter_rail_aboveground_10,2748,1.1834306999310864,0.9936895104697325,0.025496101280550392,9971048207371.463,9971037.137824204,468.6799942294795,69.40756749923844,9.68983275121942e-09,7.225986198398043e-10
60,train_bus_ebike_mtv_ucb,mtv_to_berkeley_sf_bart/subway_underground_10,4979,1.1426694546365235,1.1325634259647688,0.13699822941484033,169676666.14042777,431571.34908726864,3503.580052200338,8.02287096381617,9.431423614076219e-06,8.022390272317053e-10
60,train_bus_ebike_mtv_ucb,mtv_to_berkeley_sf_bart/walk_to_bus_10,294,1.0074662019875977,0.9594452299190278,0.17610963649876424,31949825303.355,6291998.989464708,1239.422490966464,0.24325895653240937,2.233134750870551e-09,8.417568395528515e-10
60,train_bus_ebike_mtv_ucb,mtv_to_berkeley_sf_bart/city_bus_short_10,431,1.16755667949454,0.9880756641459634,0.053501621270987516,61905.78140092359,399.5455398274239,38.32515638261056,34.18885926640684,0.08247851981149454,6.922048303980974e-10
60,train_bus_ebike_mtv_ucb,walk_urban_university/walk_urban_university_10,789,1.0955791838281446,0.9825069777507751,0.04000758587179339,61634.07859180369,823.4720700341467,51.80883986697908,1.2242326634647553,0.008152188732961864,8.783406312073868e-10
60,train_bus_ebike_mtv_ucb,berkeley_to_mtv_SF_express_bus/walk to the bikeshare location_10,389,1.1009268787162443,0.9976294762960949,0.0332101731364707,3560129.154377897,23139.617015091262,150.50489741964248,1.1986283452427229,0.0001247260576855305,5.692611509058333e-10
60,train_bus_ebike_mtv_ucb,berkeley_to_mtv_SF_express_bus/ebike_bikeshare_urban_long_10,1465,1.2137480054438836,0.9552871085439728,0.04233447346040875,394203.40266752656,601.5279490524525,33.370193584465184,15.098873074591078,0.02723356855274343,7.481166846026598e-10
60,train_bus_ebike_mtv_ucb,berkeley_to_mtv_SF_express_bus/express_bus_10,2907,1.1508506121901214,0.9877754153158308,0.01613238117929464,5730147278.011868,142262.7776350696,106.86130378254761,18.33098616723698,9.293149069589008e-06,7.342253319793175e-10
60,train_bus_ebike_mtv_ucb,berkeley_to_mtv_SF_express_bus/walk_downtown_urban_canyon_10,617,1.0165926738972977,0.8762513570786513,0.1231067195400045,144353136.2296684,216549.4490650228,325.8377419528643,4.236131527673723,1.7974255332902344e-05,8.02529976053429e-10
60,train_bus_ebike_mtv_ucb,berkeley_to_mtv_SF_express_bus/light_rail_below_above_ground_10,1016,1.127149574065417,0.9822516343263733,0.08334735662329999,22795696.441311985,73337.08183546487,550.2556426096193,10.710271215443068,3.448876968375751e-05,8.145851430344032e-10
60,train_bus_ebike_mtv_ucb,berkeley_to_mtv_SF_express_bus/commuter_rail_with_tunnels_10,3474,1.2523900326900481,0.9979205666133111,0.03314249766039752,87463232.04170763,57391.79956186678,1258.075774063153,86.51883652890365,0.002516300094521332,7.999884506231548e-10
60,train_bus_ebike_mtv_ucb,berkeley_to_mtv_SF_express_bus/inner_suburb_downtown_walk_10,1179,1.0747560040646835,0.9973591431097055,0.04776511187169111,2949277.957843527,22100.28790043655,168.3192499191587,1.3545318149344734,0.0002720262489209374,7.13358173776683e-10
60,train_bus_ebike_mtv_ucb,mtv_to_berkeley_sf_bart/walk_to_caltrain_11,965,1.094029028569406,0.8875820780879723,0.11543921889104909,1119120614.9451752,1119304.8470634343,1120.6581456638332,3.7370182067767503,3.1194566514114415e-06,7.066114844795951e-10
60,train_bus_ebike_mtv_ucb,mtv_to_berkeley_sf_bart/commuter_rail_aboveground_11,2641,1.191807419256405,0.9962415611912204,0.023115251933404236,26087195.889476776,40719.300339280155,828.7415778827427,71.85008121923079,0.005962465055394488,7.225986198398043e-10
60,train_bus_ebike_mtv_ucb,mtv_to_berkeley_sf_bart/subway_underground_11,3895,1.1895220355329692,1.141851974781935,0.09664521801291957,25692287.011743892,135253.66861285077,1501.2951218898934,21.294724830662034,0.0002126392870723281,8.022390272317053e-10
